distance,angle_deg,nearest_defender_distance,shot_first_time,shot_one_on_one,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
29.940774873072336,11.35435216293401,4.8999999999999915,0,0,False,False,True,False,True,False
22.68237200999931,17.79503694647407,1.9104973174542823,0,0,True,False,False,False,True,False
9.033825324855464,44.644130169378144,0.4123105625617633,0,0,False,False,False,False,True,False
19.961963831246667,20.8405030305349,1.6278820596099652,1,0,False,False,True,False,True,False
17.321951391226108,21.098986435263534,3.8418745424597107,1,0,False,False,True,False,True,False
18.110770276274838,17.637995562297338,0.9899494936611605,0,1,False,False,True,False,True,False
24.61320783644424,15.827032008889697,9.377632963600146,0,0,False,False,True,True,False,False
7.596051605933173,21.94340617088491,2.0880613017821124,0,1,False,False,False,False,True,False
20.988091861815356,21.12338457560051,3.383784863137729,0,0,True,False,False,False,True,False
28.66653100743094,14.260719932032895,3.7013511046643464,0,0,False,False,True,False,True,False
9.441398201537734,26.206721480674076,5.842088667591409,0,1,True,False,False,False,True,False
15.111915828246259,29.632022902393093,0.8246211251235335,0,0,False,False,False,False,True,False
12.0,36.86989764584402,2.1236747530532876,0,1,True,False,False,False,False,True
13.511846653955192,29.749326304685855,1.3892443989449843,0,0,False,False,False,False,True,False
10.754068997360953,23.437566869875834,1.8027756377319946,0,0,False,False,False,False,True,False
26.723959287500797,15.62035791272923,4.081666326391711,1,0,False,False,True,False,True,False
5.830951894845297,14.93141717813744,2.901723625709387,1,0,False,False,True,False,True,False
20.316003544004417,21.464981280776243,2.2022715545545264,0,0,True,False,False,False,True,False
8.720665112249176,46.09945736998548,0.5099019513592787,0,0,False,False,False,False,True,False
29.223620583356876,12.435822671261857,6.1,0,0,False,False,True,False,True,False
14.142842712835357,23.286463951416184,3.9217343102255064,1,0,False,False,True,False,True,False
18.777113729218346,23.963752519922043,1.6031219541881336,0,0,False,False,True,False,True,False
7.7781745930520225,44.676298475079776,0.5099019513592787,0,0,False,False,False,False,True,False
20.028230076569425,6.752473688960185,1.2369316876852934,0,0,False,False,True,False,True,False
10.007996802557443,43.54837084739169,0.7615773105863951,0,0,False,False,False,False,True,False
21.88058500132023,16.92298027934876,1.7204650534085184,0,0,False,False,True,False,True,False
28.092169727523714,12.032443756343085,2.3409399821439156,0,0,True,False,False,False,True,False
23.099134182908237,12.71691435300223,1.9235384061671261,0,0,False,False,True,False,True,False
17.000000000000007,24.288802178381278,2.353720459187968,1,0,True,False,False,False,True,False
22.844255295369123,19.10306129135431,8.121576201698781,1,0,False,False,True,False,True,False
11.900420160649796,37.15634507564839,2.1236747530532876,0,1,False,False,True,False,False,True
12.666885963013952,25.467963888892463,1.6278820596099586,1,0,False,False,True,False,True,False
